À mon âge je me cache encore pour fumer	26 avril 2017	Rayhana	Au cœur du hammam loin du regard accusateur des hommes, mères, amantes, vierges ou exaltées islamistes, des fesses et des foulards de Dieu se confrontent, s’interpellent entre fous rires, pleurs et colères, bible et coran… avant le sifflement d’un poignard et le silence de Dieu.	http://www.allocine.fr/video/player_gen_cmedia=19569517&cfilm=251169.html	http://www.allocine.fr/seance/film-251169/	01.jpg
Mister Universo	26 avril 2017	Tizza Covi	Il était une fois Tairo, jeune dompteur de fauves dans un petit cirque itinérant des villes et villages de la péninsule italienne. Effondré par la perte de son fer à cheval, son gage de chance et d’amour, Tairo va parcourir l'Italie, à la recherche de celui qui, jadis lui avait offert ce porte bonheur...	http://www.allocine.fr/video/player_gen_cmedia=19569443&cfilm=248848.html	http://www.allocine.fr/seance/film-248848/	02.jpg
Entretien avec Jean Croque	26 avril 2017	Marc Charley	Pour les besoins d’une émission sur les métiers qui recrutent, Marc Charley réalise une interview de l’entrepreneur de pompes funèbres Jean Croque, surnommé le « Lagerfeld du suaire ». Réalisé sous forme de vraie-fausse émission TV, « Entretien avec Jean Croque » est une comédie à l’humour décalé.	http://www.allocine.fr/video/player_gen_cmedia=19568567&cfilm=254004.html	http://www.allocine.fr/seance/film-254004/	03.jpg
Après la tempête	26 avril 2017	Hirokazu Kore-eda	Malgré un début de carrière d’écrivain prometteur, Ryota accumule les désillusions. Divorcé de Kyoko, il gaspille le peu d’argent que lui rapporte son travail de détective privé en jouant aux courses, jusqu’à ne plus pouvoir payer la pension alimentaire de son fils de 11 ans, Shingo.	http://www.allocine.fr/video/player_gen_cmedia=19561870&cfilm=246299.html	http://www.allocine.fr/seance/film-246299/	04.jpg
Jour J	26 avril 2017	Reem Kherici	Mathias et Alexia sont en couple depuis des années, et pour la première fois, il la trompe avec Juliette, une wedding planer... Quand Alexia découvre la carte de visite de Juliette dans la poche de Mathias, il perd ses moyens, il bafouille... Elle comprend tout de suite : Juliette est une organisatrice de mariage, il veut donc l'épouser !	http://www.allocine.fr/video/player_gen_cmedia=19569581&cfilm=248682.html	http://www.allocine.fr/seance/film-248682/	05.jpg
Django	26 avril 2017	Etienne Comar	En 1943 pendant l’occupation allemande, le tsigane Django Reinhardt, véritable “guitare héros”, est au sommet de son art. Chaque soir il fait vibrer le tout Paris aux Folies Bergères avec sa musique swing alors qu’en Europe, ses frères sont pourchassés et massacrés.	http://www.allocine.fr/video/player_gen_cmedia=19569065&cfilm=245285.html	http://www.allocine.fr/seance/film-245285/	06.jpg
Une douce révolte	26 avril 2017	Manuel Poutte	Un peu partout, sans tapage, certains indignés revendiqués ou non, concrétisent leurs aspirations à une société différente par des micro-révolutions.		http://www.allocine.fr/seance/film-237067/	07.jpg
La Colère d’un homme patient	26 avril 2017	Raúl Arévalo	Un homme attend huit ans pour se venger d'un crime que tout le monde a oublié.	http://www.allocine.fr/video/player_gen_cmedia=19567971&cfilm=232701.html	http://www.allocine.fr/seance/film-232701/	08.jpg
La Morsure des Dieux	26 avril 2017	Cheyenne Carron	Sébastien, grand amoureux de sa terre du Pays-Basque, est seul à s'occuper de la ferme familiale alors que les soucis s'accumulent : crédits insurmontables, baisse de la production, désorganisation du milieu paysan…	http://www.allocine.fr/video/player_gen_cmedia=19565785&cfilm=251139.html	http://www.allocine.fr/seance/film-251139/	09.jpg
La Papesse Jeanne	26 avril 2017	Jean Breschand	À l’aube du Moyen Âge, la Papesse Jeanne est l’histoire légendaire d’une jeune femme qui accède au trône papal. Vive, charnelle, elle a été consacrée à la surprise de tous et a régné deux ans sur Rome. Dans cet univers chaotique dominé par les hommes, une femme tente d’imposer sa voix.	http://www.allocine.fr/video/player_gen_cmedia=19569790&cfilm=246005.html	http://www.allocine.fr/seance/film-246005/	10.jpg
Baahubali 2 : La Conclusion	28 avril 2017	S.S. Rajamouli	Shivudu, un jeune villageois découvre sa vraie identité, de descendance royale. Il sauvera la Reine Devasena asservie par le terrible Bhalladeva dont le seul et unique objectif est de garder son trône et, de tuer le fils de son ennemi : le Roi BAAHUBALI.	http://www.allocine.fr/video/player_gen_cmedia=19569784&cfilm=255168.html	http://www.allocine.fr/seance/film-255168/	11.jpg
Noma au Japon : (Ré)inventer le meilleur restaurant du monde	26 avril 2017	Maurice Dekkers	Janvier 2015. Le NOMA vient de recevoir pour la 4ème fois le titre de meilleur restaurant du monde. Le chef, René Redzepi, décide de fermer son restaurant de Copenhague pour ouvrir une résidence de deux mois à Tokyo, au Japon.	http://www.allocine.fr/video/player_gen_cmedia=19568006&cfilm=250877.html	http://www.allocine.fr/seance/film-250877/	12.jpg
